iter	Passed	Remaining
415	2795	3924
416	2801	3916
417	2807	3908
418	2813	3900
419	2819	3893
420	2824	3885
421	2830	3876
422	2836	3868
423	2841	3860
424	2847	3852
425	2853	3844
426	2859	3837
427	2865	3830
428	2871	3821
429	2877	3814
430	2882	3805
431	2888	3797
432	2893	3789
433	2900	3783
434	2907	3776
435	2913	3769
436	2920	3762
437	2926	3755
438	2933	3748
439	2939	3741
440	2946	3734
441	2952	3727
442	2959	3720
443	2965	3713
444	2971	3705
445	2977	3698
446	2983	3691
447	2989	3683
448	2995	3675
449	3001	3668
450	3006	3660
451	3012	3652
452	3019	3645
453	3025	3638
454	3032	3632
455	3039	3626
456	3046	3619
457	3052	3612
458	3058	3605
459	3065	3598
460	3071	3591
461	3078	3585
462	3085	3578
463	3092	3572
464	3099	3565
465	3106	3559
466	3113	3553
467	3119	3546
468	3126	3539
469	3133	3533
470	3140	3527
471	3147	3521
472	3154	3514
473	3161	3508
474	3168	3501
475	3175	3495
476	3182	3489
477	3188	3482
478	3195	3475
479	3201	3467
480	3207	3460
481	3212	3452
482	3218	3445
483	3224	3437
484	3230	3429
485	3236	3422
486	3241	3414
487	3247	3407
488	3253	3400
489	3259	3392
490	3264	3384
491	3270	3377
492	3277	3370
493	3283	3363
494	3289	3355
495	3295	3348
496	3301	3341
497	3307	3333
498	3313	3326
499	3319	3319
500	3324	3311
501	3330	3304
502	3336	3297
503	3342	3289
504	3348	3282
505	3354	3275
506	3360	3267
507	3366	3260
508	3372	3253
509	3378	3246
510	3384	3239
511	3391	3232
512	3397	3224
513	3402	3217
514	3408	3210
515	3414	3202
516	3419	3194
517	3425	3187
518	3430	3179
519	3436	3172
520	3442	3164
521	3447	3157
522	3453	3149
523	3459	3142
524	3464	3134
525	3470	3127
526	3476	3120
527	3481	3112
528	3486	3104
529	3491	3096
530	3496	3088
531	3501	3080
532	3506	3072
533	3513	3066
534	3521	3060
535	3528	3054
536	3535	3048
537	3542	3041
538	3549	3035
539	3556	3029
540	3562	3022
541	3570	3016
542	3576	3009
543	3583	3003
544	3589	2996
545	3596	2990
546	3603	2984
547	3610	2977
548	3616	2971
549	3622	2963
550	3628	2956
551	3635	2950
552	3641	2943
553	3647	2936
554	3654	2929
555	3660	2922
556	3666	2915
557	3671	2908
558	3677	2901
559	3683	2894
560	3689	2887
561	3695	2880
562	3702	2873
563	3707	2866
564	3713	2859
565	3719	2852
566	3725	2845
567	3731	2837
568	3737	2830
569	3743	2823
570	3749	2817
571	3755	2809
572	3761	2802
573	3767	2795
574	3772	2788
575	3779	2781
576	3785	2774
577	3791	2768
578	3797	2761
579	3803	2754
580	3808	2746
581	3814	2739
582	3820	2732
583	3826	2725
584	3832	2718
585	3838	2711
586	3844	2704
587	3849	2697
588	3855	2690
589	3861	2683
590	3867	2676
591	3873	2669
592	3879	2662
593	3884	2655
594	3890	2648
595	3895	2640
596	3901	2633
597	3907	2626
598	3913	2619
599	3918	2612
600	3924	2605
601	3930	2598
602	3936	2591
603	3942	2584
604	3948	2577
605	3954	2570
606	3959	2563
607	3965	2556
608	3971	2549
609	3976	2542
610	3982	2535
611	3988	2528
612	3994	2521
613	4000	2514
614	4006	2507
615	4011	2500
616	4017	2493
617	4023	2486
618	4028	2479
619	4034	2472
620	4040	2465
621	4045	2458
622	4051	2451
623	4057	2445
624	4063	2438
625	4069	2431
626	4075	2424
627	4081	2417
628	4087	2410
629	4093	2404
630	4099	2397
631	4105	2390
632	4110	2383
633	4116	2376
634	4122	2369
635	4129	2363
636	4135	2356
637	4141	2350
638	4148	2343
639	4155	2337
640	4162	2331
641	4168	2324
642	4174	2317
643	4181	2311
644	4186	2304
645	4193	2297
646	4199	2291
647	4206	2284
648	4213	2278
649	4220	2272
650	4226	2266
651	4233	2259
652	4240	2253
653	4246	2246
654	4253	2240
655	4259	2233
656	4266	2227
657	4273	2221
658	4279	2214
659	4285	2207
660	4291	2201
661	4297	2194
662	4304	2187
663	4310	2181
664	4316	2174
665	4322	2167
666	4328	2160
667	4334	2154
668	4339	2147
669	4345	2140
670	4351	2133
671	4357	2126
672	4362	2119
673	4368	2113
674	4374	2106
675	4381	2099
676	4387	2093
677	4393	2086
678	4398	2079
679	4404	2072
680	4410	2066
681	4416	2059
682	4422	2052
683	4428	2045
684	4433	2038
685	4440	2032
686	4446	2025
687	4451	2018
688	4458	2012
689	4464	2005
690	4470	1999
691	4476	1992
692	4482	1985
693	4488	1979
694	4494	1972
695	4500	1965
696	4506	1959
697	4512	1952
698	4518	1945
699	4524	1938
700	4529	1932
701	4535	1925
702	4541	1918
703	4546	1911
704	4552	1905
705	4558	1898
706	4564	1891
707	4570	1885
708	4576	1878
709	4582	1871
710	4588	1865
711	4594	1858
712	4600	1851
713	4606	1845
714	4612	1838
715	4617	1831
716	4623	1824
717	4629	1818
718	4634	1811
719	4640	1804
720	4646	1797
721	4652	1791
722	4657	1784
723	4663	1777
724	4669	1771
725	4675	1764
726	4680	1757
727	4686	1751
728	4693	1744
729	4698	1737
730	4704	1731
731	4711	1724
732	4717	1718
733	4723	1711
734	4728	1704
735	4734	1698
736	4740	1691
737	4746	1685
738	4751	1678
739	4757	1671
740	4763	1664
741	4768	1658
742	4774	1651
743	4780	1644
744	4786	1638
745	4791	1631
746	4797	1624
747	4803	1618
748	4808	1611
749	4814	1604
750	4819	1598
751	4825	1591
752	4831	1584
753	4837	1578
754	4842	1571
755	4848	1564
756	4853	1558
757	4859	1551
758	4866	1545
759	4872	1538
760	4878	1532
761	4883	1525
762	4889	1518
763	4895	1512
764	4901	1505
765	4907	1499
766	4912	1492
767	4918	1485
768	4924	1479
769	4930	1472
770	4936	1466
771	4941	1459
772	4947	1452
773	4953	1446
774	4959	1439
775	4965	1433
776	4971	1426
777	4976	1420
778	4982	1413
779	4988	1407
780	4994	1400
781	5000	1394
782	5006	1387
783	5012	1381
784	5019	1374
785	5025	1368
786	5032	1361
787	5038	1355
788	5045	1349
789	5052	1342
790	5058	1336
791	5064	1330
792	5071	1323
793	5077	1317
794	5083	1310
795	5089	1304
796	5094	1297
797	5100	1291
798	5106	1284
799	5111	1277
800	5117	1271
801	5123	1264
802	5128	1258
803	5134	1251
804	5140	1245
805	5146	1238
806	5152	1232
807	5157	1225
808	5163	1219
809	5169	1212
810	5175	1206
811	5181	1199
812	5187	1193
813	5193	1186
814	5199	1180
815	5204	1173
816	5210	1167
817	5216	1160
818	5222	1154
819	5228	1147
820	5233	1141
821	5239	1134
822	5245	1128
823	5251	1121
824	5257	1115
825	5262	1108
826	5268	1102
827	5274	1095
828	5279	1089
829	5285	1082
830	5291	1076
831	5297	1069
832	5303	1063
833	5308	1056
834	5314	1050
835	5320	1043
836	5326	1037
837	5331	1030
838	5337	1024
839	5343	1017
840	5349	1011
841	5354	1004
842	5360	998
843	5366	991
844	5372	985
845	5378	979
846	5384	972
847	5390	966
848	5395	959
849	5401	953
850	5407	946
851	5412	940
852	5418	933
853	5423	927
854	5429	920
855	5434	914
856	5440	907
857	5445	901
858	5451	894
859	5457	888
860	5463	882
861	5469	875
862	5475	869
863	5480	862
864	5486	856
865	5492	849
866	5498	843
867	5503	837
868	5509	830
869	5516	824
870	5522	817
871	5528	811
872	5533	805
873	5540	798
874	5545	792
875	5551	785
876	5557	779
877	5564	773
878	5570	766
879	5575	760
880	5581	753
881	5587	747
882	5592	741
883	5598	734
884	5604	728
885	5610	721
886	5615	715
887	5621	709
888	5627	702
889	5632	696
890	5638	689
891	5644	683
892	5650	677
893	5656	670
894	5661	664
895	5667	657
896	5672	651
897	5678	645
898	5684	638
899	5690	632
900	5695	625
901	5701	619
902	5707	613
903	5712	606
904	5718	600
905	5723	593
906	5729	587
907	5736	581
908	5741	574
909	5747	568
910	5753	562
911	5758	555
912	5764	549
913	5770	542
914	5776	536
915	5781	530
916	5787	523
917	5793	517
918	5799	511
919	5804	504
920	5810	498
921	5816	492
922	5821	485
923	5827	479
924	5833	472
925	5839	466
926	5845	460
927	5850	453
928	5856	447
929	5862	441
930	5868	434
931	5873	428
932	5879	422
933	5885	415
934	5891	409
935	5897	403
936	5903	396
937	5909	390
938	5914	384
939	5920	377
940	5926	371
941	5931	365
942	5937	358
943	5943	352
944	5949	346
945	5954	339
946	5960	333
947	5966	327
948	5972	320
949	5978	314
950	5984	308
951	5990	302
952	5996	295
953	6002	289
954	6007	283
955	6013	276
956	6019	270
957	6024	264
958	6030	257
959	6035	251
960	6041	245
961	6046	238
962	6052	232
963	6058	226
